I_Target_var,Target_var,age,amount,car,car_loan,cnt_txn,Target,default,education,job,job_gp,lastcon_daysago,lastcon_secs,marital,mortgage,num_active_products,own_home,pref_channel,recent_txn_cnt,tenure_yrs,mobile_number,custID,mobile_number_STND,campaign_ID,_dmIndex_,_PartInd_
0,0,30,9537,unknown,0,19,no,no,professional.course,student,Medium Earner,21,132,single,0,4,unknown,email,7,3 to 6,+91 725 3078205,60235,+91 725 3 078205,4,12000439,0
0,0,41,986,no,0,21,no,no,basic.4y,retired,Low Earner,31,278,single,187000,5,yes,email,5,3 to 6,+91 5442430683,60236,+91 5442 430683,1,12000440,1
0,0,30,5326,yes,41000,18,no,no,basic.9y,self-employed,Medium Earner,33,5,single,0,3,no,email,4,3 to 6,079-28447296,60237,79 28447296,1,12000441,1
0,1,57,10437,unknown,0,22,yes,no,university.degree,admin.,High Earner,31,229,married,0,5,unknown,email,7,6 to 9,089-44120586,60238,89 44120586,2,12000442,1
0,1,22,10795,no,0,20,yes,no,professional.course,self-employed,Medium Earner,60,218,single,362000,4,yes,mobile,5,0-3,+91 3979699993,60239,+91 39 79699993,1,12000443,0
1,0,64,1293,no,0,12,no,no,basic.9y,unemployed,Low Earner,16,604,divorced,289000,2,yes,email,4,6 to 9,+91 7839863781,60240,+91 78 39863781,2,12000444,1
0,0,70,2043,no,0,22,no,no,basic.4y,retired,Low Earner,22,122,married,0,3,no,email,7,>9,+91 6739844680,60241,+91 67 39844680,1,12000445,0
0,1,61,1775,no,0,21,yes,no,basic.4y,retired,Low Earner,4,194,married,0,2,no,email,5,6 to 9,04887 744504,60242,48 87 744504,1,12000446,1
0,0,60,1917,unknown,0,18,no,no,basic.4y,retired,Low Earner,20,272,married,0,5,unknown,email,1,6 to 9,8772515024,60243,877 2515024,1,12000447,1
0,0,59,8627,no,0,18,no,no,university.degree,services,Medium Earner,17,162,married,479000,3,yes,directmail,3,6 to 9,+91 019 5782905,60244,+91 19 57 82905,1,12000448,2
0,1,18,7767,no,0,21,yes,yes,university.degree,services,Medium Earner,56,252,single,292000,2,yes,email,4,3 to 6,01446 111504,60245,144 6 111504,2,12000449,1
0,0,22,933,yes,23000,14,no,no,university.degree,unemployed,Low Earner,27,34,single,0,3,no,email,5,0-3,+91 5715968447,60246,+91 571 5968447,2,12000450,1
0,1,66,953,unknown,0,15,yes,no,basic.4y,retired,Low Earner,35,216,married,0,5,unknown,directmail,2,6 to 9,+91 198 6383388,60247,+91 19 8 6383388,1,12000451,1
0,0,52,6853,no,0,18,no,no,university.degree,technician,Medium Earner,9,6,married,214000,3,yes,email,6,6 to 9,1434727410,60248,1434 727410,1,12000452,1
0,1,61,36592,no,0,24,yes,no,professional.course,blue-collar,High Earner,8,246,married,266000,4,yes,email,7,6 to 9,+91 4642578047,60249,+91 46 42578047,2,12000453,2
0,0,34,8904,no,0,17,no,no,professional.course,student,Medium Earner,55,6,single,390000,2,yes,mobile,8,3 to 6,1717361311,60250,171 7361311,1,12000454,1
0,0,84,761,no,0,13,no,no,basic.4y,retired,Low Earner,35,106,divorced,352000,2,yes,email,3,>9,+91 192 1868936,60251,+91 192 1 868936,4,12000455,1
0,0,67,2059,no,0,18,no,no,basic.4y,retired,Low Earner,56,218,divorced,387000,2,yes,mobile,5,6 to 9,5685804948,60252,56 85804948,1,12000456,1
0,1,17,3054,yes,94000,21,yes,no,high.school,services,Medium Earner,39,178,divorced,165000,4,yes,email,2,6 to 9,2933567857,60253,2933 567857,4,12000457,0
0,0,15,2369,no,0,18,no,no,high.school,student,Medium Earner,59,7,married,361000,4,yes,directmail,3,0-3,+91 376 2950794,60254,+91 376 2950794,1,12000458,1
0,0,61,948,no,0,24,no,no,basic.4y,housewife,Low Earner,15,238,married,264000,5,yes,mobile,4,6 to 9,04602 475468,60255,46 02 475468,2,12000459,1
